source,target,weight
0,6,1.0
0,11,1.0
0,48,1.0
0,57,1.0
0,77,1.0
0,90,8.0
0,92,1.0
0,99,1.0
1,30,1.0
1,67,1.0
1,78,0.25
2,44,0.25
4,12,1.0
4,18,8.0
4,55,1.0
4,96,1.0
4,102,0.25
5,2,0.25
5,4,1.0
5,9,0.25
5,10,1.0
5,18,0.25
5,22,1.0
5,24,1.0
5,30,3.0
5,31,0.5
5,34,0.5
5,38,1.0
5,39,6.0
5,43,1.0
5,44,18.0
5,51,2.25
5,55,11.0
5,56,1.0
5,57,1.0
5,58,4.0
5,62,3.0
5,63,1.0
5,67,1.0
5,76,0.75
5,78,3.0
5,89,4.0
5,92,5.0
5,100,1.0
5,102,1.75
5,109,2.0
7,18,2.0
7,21,3.0
7,27,2.0
7,38,2.0
7,55,6.0
7,62,5.0
7,81,3.0
7,97,2.0
8,7,1.0
8,19,1.0
8,21,16.5
8,34,3.0
8,38,11.25
8,52,2.0
8,53,0.5
8,61,7.0
8,63,71.5
8,81,3.0
8,91,100.75
8,95,10.25
8,103,55.25
9,18,1.0
9,27,1.0
9,29,1.0
9,51,0.25
9,54,1.0
9,58,1.25
9,60,0.25
9,74,1.5
10,2,3.0
10,3,2.25
10,25,0.25
10,44,5.0
10,55,2.0
10,67,0.25
10,72,0.25
10,78,0.25
10,98,0.25
10,102,3.0
11,0,10.25
11,1,1.0
11,6,2.0
11,16,1.0
11,30,7.0
11,38,5.25
11,48,130.25
11,56,18.0
11,57,30.75
11,65,4.25
11,80,1.0
11,92,33.75
11,99,15.25
11,104,2.25
12,20,8.0
12,37,1.0
12,50,1.0
12,54,2.0
12,64,1.0
12,87,15.0
12,88,1.25
14,3,9.25
14,19,37.75
14,22,1.0
14,26,2.0
14,30,2.0
14,34,1.0
14,38,15.75
14,40,15.5
14,53,12.25
14,56,4.0
14,63,1.25
14,75,2.5
14,80,1.0
14,81,2.25
14,95,47.0
14,98,0.5
14,103,1.0
14,105,1.25
15,107,1.0
16,14,1.0
16,22,1.0
16,80,1.0
17,23,7.0
17,30,0.25
17,31,1.0
17,72,1.0
17,79,42.25
17,86,3.0
17,100,1.0
18,3,10.25
18,4,2.0
18,15,1.0
18,21,1.0
18,24,1.0
18,27,9.0
18,30,8.5
18,32,1.0
18,37,6.25
18,39,14.25
18,43,5.25
18,44,69.25
18,51,81.0
18,54,6.0
18,55,33.25
18,58,1.0
18,62,26.0
18,69,0.25
18,74,2.75
18,78,7.75
18,81,1.25
18,82,7.75
18,83,15.75
18,89,10.25
18,90,1.0
18,92,8.5
18,94,1.25
18,97,7.25
18,109,4.0
19,3,0.25
19,6,2.0
19,8,2.0
19,14,71.75
19,26,15.5
19,31,1.0
19,34,41.25
19,38,44.25
19,40,1.0
19,52,2.0
19,53,21.75
19,56,9.0
19,57,1.0
19,61,1.0
19,92,3.25
19,95,71.5
20,12,3.0
20,26,0.25
20,35,1.5
20,64,171.5
20,70,0.5
20,82,0.25
20,87,10.0
20,88,0.25
20,94,0.25
20,96,3.5
20,97,0.25
20,100,123.0
20,103,0.25
21,7,137.25
21,8,29.25
21,15,1.0
21,18,3.0
21,27,4.0
21,34,16.75
21,38,22.25
21,52,2.5
21,53,1.0
21,55,20.75
21,62,36.25
21,63,10.0
21,69,5.0
21,81,22.75
21,82,2.5
21,97,5.0
21,103,4.0
22,14,2.0
22,16,0.25
22,17,3.0
22,31,1.0
22,65,1.0
22,67,173.0
22,77,5.0
22,79,112.75
22,100,1.25
23,17,1.75
23,43,8.0
23,73,1.25
23,79,1.0
23,100,5.25
24,6,1.0
24,10,1.0
24,18,1.0
24,27,4.0
24,30,1.25
24,36,3.0
24,39,5.25
24,42,1.0
24,43,2.0
24,44,4.25
24,78,1.25
24,89,1.0
24,102,9.0
25,67,1.0
25,72,2.0
26,3,42.5
26,8,1.0
26,11,3.0
26,14,5.25
26,19,17.5
26,20,7.0
26,21,1.0
26,38,5.0
26,62,0.25
26,63,6.5
26,69,0.5
26,81,3.0
26,100,23.0
26,103,1.0
27,18,1.0
27,24,1.0
27,30,1.0
27,39,5.0
27,43,4.0
27,44,11.0
27,81,1.0
27,83,2.0
27,92,1.0
27,109,1.0
30,1,4.0
30,14,1.0
30,17,1.0
30,24,1.0
30,31,1.0
30,38,2.0
30,39,2.0
30,43,1.0
30,44,8.0
30,56,1.0
30,65,2.0
30,72,1.0
30,75,1.0
30,78,3.0
30,90,1.0
30,92,2.0
30,104,1.0
31,44,1.0
32,62,1.0
32,81,2.0
33,0,2.0
33,3,1.0
33,31,3.25
33,67,1.0
33,72,7.0
33,78,7.0
33,80,5.0
33,98,1.0
33,105,10.5
34,2,0.25
34,7,7.5
34,8,9.0
34,14,8.0
34,18,3.25
34,19,9.0
34,21,26.25
34,26,9.0
34,27,3.0
34,30,1.25
34,31,0.25
34,32,9.25
34,38,24.0
34,39,2.25
34,40,5.25
34,43,1.25
34,44,4.25
34,49,0.25
34,51,0.25
34,52,9.0
34,53,3.0
34,55,1.25
34,57,0.25
34,58,0.75
34,60,0.5
34,61,2.0
34,62,0.25
34,63,27.0
34,69,13.0
34,74,1.25
34,76,0.25
34,78,1.25
34,81,28.0
34,82,2.0
34,83,1.0
34,89,1.25
34,91,9.0
34,92,1.25
34,95,9.0
34,97,1.0
34,103,9.0
34,107,9.0
35,3,7.25
35,18,15.5
35,20,13.0
35,21,0.25
35,24,1.0
35,27,8.0
35,37,1.0
35,38,1.0
35,44,13.0
35,45,148.75
35,55,1.0
35,62,1.0
35,68,31.5
35,70,0.25
35,72,1.0
35,78,12.25
35,81,205.0
35,82,626.25
35,83,0.25
35,88,14.75
35,97,48.5
35,100,36.0
35,107,4.25
35,109,1.0
36,10,1.0
36,42,1.0
36,71,1.0
37,29,1.0
37,63,1.0
37,74,1.0
37,83,1.0
37,93,0.25
37,94,4.0
38,14,1.25
38,19,0.25
38,21,0.25
38,34,1.5
38,40,2.0
38,62,2.25
38,63,1.5
38,69,1.0
38,81,2.25
38,92,0.25
38,95,1.0
39,9,10.0
39,18,4.0
39,24,4.0
39,27,3.0
39,29,2.0
39,30,3.0
39,32,0.25
39,37,4.0
39,43,6.0
39,44,8.0
39,50,1.0
39,55,1.0
39,60,1.0
39,62,2.5
39,69,1.0
39,72,2.0
39,74,44.0
39,78,2.0
39,82,1.0
39,83,6.5
39,89,1.5
39,90,1.0
39,92,1.0
39,94,3.0
39,97,1.0
39,109,7.25
40,14,1.0
40,19,1.0
40,26,1.0
40,52,1.0
40,53,0.25
40,62,1.5
40,81,0.25
40,95,1.0
41,18,1.0
41,94,2.0
42,10,1.0
43,23,11.0
43,24,3.0
43,27,10.0
43,30,2.0
43,31,48.5
43,37,0.25
43,38,1.0
43,39,12.25
43,44,35.0
43,55,2.0
43,58,2.0
43,59,3.25
43,60,15.0
43,73,39.25
43,77,3.0
43,78,2.0
43,83,0.25
43,90,1.0
43,92,1.0
43,100,0.25
43,109,3.0
44,2,12.0
44,3,4.0
44,5,1.0
44,10,3.0
44,15,1.0
44,18,50.0
44,24,3.0
44,27,10.5
44,30,5.0
44,37,1.0
44,38,1.0
44,39,11.0
44,43,27.0
44,51,0.25
44,54,1.0
44,55,26.25
44,58,31.5
44,60,2.0
44,62,5.0
44,72,1.25
44,78,7.0
44,82,2.0
44,83,26.0
44,89,2.0
44,92,4.0
44,97,1.0
44,109,3.0
46,36,2.0
46,102,1.0
48,11,10.0
49,60,0.25
50,12,2.0
50,93,0.25
51,2,5.25
51,3,6.0
51,5,3.0
51,9,0.25
51,15,3.0
51,18,6.75
51,22,1.0
51,24,4.0
51,27,4.0
51,30,11.0
51,31,6.0
51,34,9.25
51,37,1.0
51,38,1.0
51,39,18.0
51,40,0.25
51,43,13.0
51,44,41.0
51,49,0.25
51,55,31.0
51,57,3.25
51,58,16.5
51,60,3.0
51,62,30.0
51,63,1.0
51,68,0.25
51,74,1.0
51,76,9.5
51,78,12.0
51,82,2.0
51,83,1.0
51,86,1.0
51,89,30.0
51,92,14.0
51,94,0.25
51,97,1.0
51,102,2.75
51,107,1.0
51,109,15.0
52,8,2.0
52,18,0.25
52,19,1.25
52,21,15.25
52,34,7.0
52,38,90.5
52,53,1.0
52,55,0.25
52,62,3.5
52,63,2.0
52,69,2.0
52,81,11.25
52,91,3.5
52,95,3.25
52,103,1.0
52,107,0.25
53,8,2.0
53,29,1.0
53,34,1.0
53,63,2.25
53,91,2.25
53,92,1.0
53,103,1.0
54,94,0.25
55,44,1.0
56,14,2.0
56,19,4.0
56,30,3.0
56,75,1.0
57,0,1.0
57,6,1.0
57,11,1.0
57,48,1.0
57,90,1.0
57,92,1.0
57,99,1.0
58,1,1.0
58,15,1.0
58,18,1.0
58,24,1.0
58,30,2.0
58,31,0.25
58,39,1.0
58,43,1.0
58,51,0.25
58,55,2.0
58,57,0.25
58,60,1.0
58,71,1.0
58,72,1.0
58,76,0.25
58,78,2.0
58,83,2.0
58,85,1.0
58,89,1.0
58,92,1.0
58,102,0.25
59,23,1.0
59,24,1.25
59,30,1.0
59,31,1.0
59,43,2.75
59,44,1.0
59,72,1.0
59,73,2.0
59,77,2.0
59,78,1.25
59,89,2.0
59,92,1.0
59,100,2.0
60,9,7.75
60,12,1.0
60,18,6.0
60,27,1.0
60,29,2.0
60,32,2.0
60,34,2.0
60,37,4.0
60,39,14.25
60,43,3.0
60,44,18.25
60,50,3.0
60,51,1.0
60,54,2.0
60,58,5.75
60,62,1.0
60,74,19.0
60,82,1.0
60,83,2.0
60,93,1.0
60,94,0.5
60,96,2.0
60,97,2.0
61,91,0.25
62,8,3.0
62,18,15.75
62,21,31.5
62,27,4.0
62,32,6.0
62,34,106.0
62,38,30.0
62,39,3.0
62,44,8.0
62,55,1.0
62,60,3.0
62,63,42.75
62,69,8.0
62,74,1.0
62,81,19.25
62,82,2.25
62,83,3.0
62,95,1.0
62,97,4.25
62,107,1.0
62,109,1.0
63,7,4.25
63,8,87.75
63,14,6.75
63,19,3.0
63,21,22.5
63,26,2.0
63,29,2.0
63,34,37.0
63,38,31.0
63,40,1.5
63,43,1.0
63,52,2.0
63,53,7.25
63,61,20.0
63,62,21.5
63,69,5.25
63,77,1.0
63,81,13.25
63,82,0.25
63,91,110.25
63,95,20.0
63,97,0.25
63,101,3.5
63,103,132.75
63,107,0.25
66,31,3.0
66,78,1.25
67,5,1.0
67,16,0.75
67,22,69.0
67,23,0.5
67,25,7.0
67,31,2.0
67,33,3.5
67,66,4.0
67,72,16.0
67,78,8.0
67,79,23.75
67,80,5.0
67,98,7.0
67,100,15.5
67,105,17.5
68,18,10.25
68,27,9.25
68,32,7.0
68,35,12.25
68,37,7.25
68,38,1.0
68,39,1.0
68,41,2.0
68,44,2.25
68,45,1.25
68,50,5.0
68,51,0.25
68,54,8.25
68,60,1.25
68,62,1.0
68,69,0.25
68,74,3.0
68,78,1.0
68,81,3.5
68,82,14.5
68,83,2.0
68,88,3.5
68,94,3.5
68,96,7.0
68,97,6.75
69,21,4.0
69,38,2.0
69,51,2.0
69,62,4.5
69,63,2.0
69,81,3.25
69,107,101.75
70,100,1.0
71,13,2.0
71,36,2.0
71,55,1.0
71,85,1.0
71,102,4.0
72,3,3.0
72,17,1.0
72,25,15.25
72,30,2.0
72,31,23.25
72,33,15.0
72,38,1.0
72,39,2.0
72,43,1.0
72,44,4.0
72,59,1.0
72,67,15.0
72,77,1.0
72,78,22.25
72,80,8.0
72,98,8.0
72,100,5.25
72,105,18.0
73,43,1.0
74,9,57.5
74,18,4.0
74,27,9.25
74,29,3.0
74,37,2.0
74,39,74.5
74,44,3.0
74,54,3.0
74,58,3.25
74,60,5.5
74,62,1.0
74,76,1.0
74,83,2.25
74,88,1.0
74,89,3.25
74,94,1.0
74,96,1.0
74,97,4.0
74,109,1.0
75,14,1.0
75,30,3.0
75,56,4.0
75,60,1.0
75,63,1.0
75,79,1.0
75,104,1.0
76,16,2.0
76,17,2.0
76,18,1.0
76,27,0.25
76,44,1.0
76,49,0.25
76,51,0.25
76,58,0.25
76,80,1.0
76,83,1.0
76,89,0.75
76,102,1.0
77,6,1.0
77,22,2.0
77,31,1.0
77,39,3.0
77,43,1.75
77,59,2.0
77,63,1.0
77,72,1.0
77,92,0.25
77,105,1.0
78,3,2.0
78,18,2.0
78,24,3.0
78,25,19.0
78,30,6.25
78,31,35.0
78,33,5.0
78,35,1.0
78,38,1.0
78,44,13.75
78,63,1.0
78,66,4.0
78,67,13.0
78,72,33.25
78,80,3.25
78,81,1.0
78,82,1.0
78,89,1.0
78,96,1.0
78,97,2.0
78,98,5.0
78,100,2.0
78,105,6.0
79,1,2.0
79,17,22.75
79,22,34.5
79,23,4.5
79,33,3.0
79,56,1.0
79,65,1.25
79,67,18.5
79,75,1.25
79,86,1.0
79,105,3.0
80,11,1.0
80,16,0.5
80,25,1.0
80,31,3.0
80,33,2.0
80,67,1.0
80,72,1.0
80,78,5.0
80,84,15.0
80,98,2.0
80,105,6.0
81,0,1.0
81,7,1.0
81,8,1.0
81,18,3.25
81,21,14.0
81,26,2.0
81,27,3.75
81,32,14.25
81,34,8.0
81,35,5.25
81,38,10.0
81,44,1.0
81,52,4.0
81,55,3.5
81,61,2.0
81,62,55.0
81,63,3.75
81,69,14.75
81,74,2.0
81,82,6.5
81,91,2.0
81,92,0.25
81,97,13.5
81,101,2.0
81,103,1.0
81,104,1.0
81,107,100.0
82,97,1.0
83,18,6.25
83,27,0.75
83,32,0.25
83,39,0.25
83,44,3.25
83,49,12.25
83,74,0.25
83,81,0.25
83,89,0.5
86,17,3.0
86,23,7.5
86,79,2.0
86,100,7.5
87,12,2.75
87,96,3.0
88,12,0.25
88,27,1.0
88,37,0.5
88,44,1.0
88,50,6.0
88,74,2.0
88,82,0.5
88,93,1.25
88,94,4.25
88,96,0.25
88,97,3.5
88,106,1.5
88,109,1.0
89,3,1.0
89,9,4.0
89,16,3.0
89,17,4.0
89,18,27.0
89,22,2.0
89,24,1.0
89,27,6.5
89,28,8.25
89,37,4.0
89,39,6.0
89,44,25.0
89,47,3.0
89,51,7.0
89,58,4.25
89,60,1.75
89,63,1.0
89,74,4.25
89,76,103.0
89,79,4.0
89,80,4.0
89,83,3.0
89,86,2.0
89,93,1.0
89,94,0.5
89,97,1.0
89,100,1.0
89,109,2.0
90,6,1.0
90,18,1.0
90,31,1.0
90,39,4.0
90,57,2.25
90,92,1.0
91,3,0.25
91,7,1.0
91,8,168.25
91,19,2.0
91,21,2.25
91,34,1.0
91,38,1.25
91,43,4.0
91,52,4.25
91,53,212.5
91,55,1.0
91,59,1.0
91,61,127.75
91,63,206.25
91,69,1.0
91,73,1.0
91,81,8.0
91,92,1.0
91,95,0.25
91,103,148.5
92,0,11.5
92,1,8.0
92,6,17.25
92,11,6.25
92,18,2.0
92,19,3.0
92,24,9.25
92,30,19.75
92,31,1.0
92,38,1.0
92,39,1.25
92,43,8.5
92,44,7.5
92,48,5.25
92,55,0.25
92,57,40.5
92,58,1.0
92,59,3.0
92,60,1.0
92,72,7.0
92,73,5.0
92,77,13.25
92,78,17.75
92,80,1.0
92,90,16.75
92,99,5.25
92,105,0.25
92,108,1.0
93,32,0.25
94,3,1.0
94,9,1.25
94,12,0.5
94,18,4.0
94,27,3.0
94,32,2.0
94,37,1.0
94,39,1.0
94,41,1.25
94,44,1.0
94,45,1.0
94,49,0.25
94,50,0.75
94,51,0.5
94,54,2.25
94,55,1.0
94,58,0.25
94,60,1.5
94,68,1.75
94,74,2.0
94,83,2.0
94,87,3.0
94,88,1.0
94,89,1.0
94,92,1.0
94,96,1.0
94,97,4.25
94,102,1.0
94,106,0.25
94,109,1.0
95,6,1.0
95,14,5.0
95,19,8.0
95,38,5.75
95,40,1.0
95,63,0.25
95,91,4.25
95,99,1.0
96,4,1.0
96,12,5.25
96,20,0.25
96,27,1.0
96,39,1.25
96,44,3.0
96,50,1.0
96,74,1.0
96,87,4.5
96,97,2.0
96,109,1.0
97,18,6.75
97,27,8.5
97,32,4.25
97,33,1.0
97,35,61.75
97,37,11.25
97,38,1.0
97,39,2.5
97,41,5.25
97,44,6.75
97,50,0.25
97,54,19.5
97,62,4.0
97,68,200.75
97,69,2.75
97,72,1.0
97,74,3.0
97,78,4.0
97,81,4.25
97,82,75.25
97,83,3.5
97,87,1.0
97,88,25.0
97,92,1.0
97,94,15.0
97,96,1.75
97,107,1.0
97,109,0.75
99,11,1.0
99,95,3.0
100,20,18.75
100,22,3.0
100,23,5.0
100,26,3.0
100,35,4.25
100,59,6.0
100,64,3.25
100,67,4.0
100,70,8.0
100,72,1.0
103,2,1.25
103,3,1.0
103,7,2.0
103,8,194.75
103,14,7.0
103,15,4.0
103,19,1.0
103,21,163.5
103,24,1.0
103,34,1.0
103,38,373.5
103,39,1.0
103,43,16.0
103,44,1.0
103,52,1.0
103,53,8.0
103,55,2.0
103,61,383.0
103,62,2.0
103,63,355.0
103,69,0.25
103,73,1.0
103,81,1.0
103,87,1.0
103,89,0.25
103,91,210.0
103,95,272.75
103,97,1.0
103,101,3.0
104,30,1.25
105,24,1.0
105,25,1.0
105,31,3.0
105,33,1.75
105,65,1.0
105,66,1.0
105,67,5.0
105,72,3.75
105,78,1.0
105,80,4.0
105,98,1.0
105,100,2.0
106,50,1.0
106,88,0.5
107,14,1.0
107,18,7.5
107,21,3.0
107,27,9.75
107,32,3.5
107,34,4.0
107,35,7.0
107,37,1.0
107,38,14.25
107,40,2.5
107,44,3.25
107,45,1.0
107,49,0.75
107,51,1.75
107,54,1.0
107,55,2.0
107,58,1.0
107,60,0.75
107,62,43.0
107,63,1.0
107,68,3.0
107,69,2.0
107,82,19.25
107,83,3.0
107,97,18.0
108,109,1.0
109,4,1.0
109,9,5.0
109,18,4.5
109,24,1.0
109,27,18.75
109,29,4.0
109,30,2.75
109,37,6.25
109,39,22.0
109,43,2.25
109,44,12.25
109,50,0.25
109,51,1.25
109,54,1.25
109,55,4.0
109,58,1.0
109,60,3.0
109,62,4.0
109,82,2.0
109,83,9.25
109,89,4.25
109,94,5.5
109,96,1.0
109,97,3.25
109,108,3.25
